State,ABO_0,ABO_1,ABO_2,ABO_3,ABO_4,ABO_5,ABO_6,ABO_NR,AB_0,AB_1,AB_2,AB_3,AB_4,AB_5,AB_6,AB_NR,A_0,A_1,A_2,A_3,A_4,A_5,A_6,A_NR,B_0,B_1,B_2,B_3,B_4,B_5,B_6,B_NR,O_0,O_1,O_2,O_3,O_4,O_5,O_6,O_NR,U_0,U_1,U_2,U_3,U_6,U_NR
Alabama,9.822727273,0.375,1.53968254,1.5,2.092592593,6.538461538,1,335.4285714,18.66666667,0,5,0,1,0,0,0,7.407894737,1,2.785714286,0.892857143,1.181818182,5.833333333,0,294,16.14814815,1,2.5,2.090909091,10.33333333,7.5,0,0,9.701754386,0.5,0.825,1.8,2.148148148,6.6,0,247.4,0,0,0,0,0,0
Alaska,3.6,0.75,1.588235294,4.307692308,6.333333333,18.5,0,1,0,0,0,0,0,0,0,0,3.3125,0,0.888888889,5.25,13,0,0,0,7,0,1,5.5,0,6,0,0,3.12,1.5,2.285714286,3.571428571,2.8,20,0,0.666666667,0,0,0,0,0,0
Arizona,5.686131387,1.222222222,4.117647059,7.47826087,10.45238095,11.40909091,2,0.486486486,4.5,0.5,8,0,2.333333333,0,0,0,4.898876404,2,4.458333333,5.5,7.714285714,8.333333333,0,0.416666667,9,0,5.571428571,10.75,11,0,0,1,5.850931677,0.833333333,3.769230769,8.256410256,13.45,11.84615385,1,0.458333333,0,0,0,0,0,0
Arkansas,3.423529412,1.333333333,1.965517241,3.612903226,7.9,4.25,0,32,3,0,0,0,1.5,0,0,0,2.741935484,0.5,1.25,2.571428571,8.333333333,1.75,0,0,3.416666667,1.5,0.2,7,12,7,0,0,3.975,0.5,3.125,3.714285714,9.75,6.666666667,0,19,0,0,0,0,0,0
California,11.64642082,8.438596491,10.48717949,12.49403341,18.73369565,16.96842105,5,9.268041237,9.955555556,6.333333333,12.36363636,10.33333333,11.375,13.66666667,0,7.5,10.35831382,5.045454545,8.333333333,10.77099237,17.75471698,15.64516129,1.333333333,12.525,16.08552632,16.66666667,14.87234043,19,21.33333333,19.25,0,13.63636364,11.58234519,9.653846154,10.88839286,12.42978723,19.22222222,17.44897959,6,7.556451613,0,0,0,0,0,0
Colorado,7.034825871,2.5,5.602739726,7.371428571,15.20833333,16,0,0.375,4.333333333,0,7,2.75,4,0,0,0,6.828571429,1.4,6.789473684,7.125,13.88888889,11.2,0,0.375,4.896551724,1,2.75,5.166666667,21.5,0,0,0,8.11827957,5.333333333,5.825,9.066666667,17.18181818,19.33333333,0,0.5,0,0,0,0,0,0
Connecticut,6.74829932,3.5,4.178571429,5.672727273,12.77272727,22.44444444,0,12.33333333,0,0,0,0,0,0,0,0,6.106382979,0,5.909090909,3.818181818,9,15.75,0,0,10.82352941,0,7.4,10.2,20,19,0,6,5.951807229,4,3.1,5.821428571,14.1,31,0,14,0,0,0,0,0,0
Delaware,7.625,0.75,4.294117647,7.263157895,17,36.33333333,1,9.333333333,10,0,0,3,0,0,0,0,14,1,7.5,11.33333333,0,30,0,0,11.125,0,2.75,10,0,0,0,6,5.538461538,0.666666667,4,5.916666667,9.4,22,1,4.8,0,0,0,0,0,0
District of Columbia,8.948717949,20,6.461538462,19.28571429,9.666666667,18.66666667,0,2.666666667,0,0,0,0,0,0,0,0,5.909090909,0,3.4,10.5,6,11,0,0,13.4,3,8.5,0,9,0,0,2,9.086956522,0,7.833333333,14.4,11.8,17.5,0,1.2,0,0,0,0,0,0
Florida,5.148629149,1.918918919,3.62195122,4.478448276,7.548076923,6.759259259,0.666666667,48.70588235,6.823529412,0,10,4.875,5,6,0,0,4.199152542,0.928571429,3.158536585,3.766233766,6,5.444444444,0,32,8.630136986,3,5.192307692,6.851851852,13,15.25,1,0,4.989100817,2.157894737,3.459259259,4.375,7.705882353,6.482758621,1,40.72727273,0,0,0,0,0,0
Georgia,9.827868852,2.695652174,6.2,9.206896552,19.82,18.40625,1,56.66666667,13.63636364,0,4.666666667,16.33333333,45,17,0,0,7.544715447,1.75,3.666666667,7.848484848,19.73333333,13.30769231,1,82,21.71875,3.6,17.2,24.44444444,43.5,116,1,25,9.12,2.8,6.617647059,7.605633803,15.86666667,16.64705882,3,63.33333333,0,0,0,0,0,0
Hawaii,10.63492063,3.75,9.476190476,8.652173913,16.66666667,19.33333333,0,29,17,0,0,8,9,0,0,0,13.4375,2,15,8.285714286,27,19,0,0,24,9,56,17,29,10,0,0,6.657894737,1,4.6875,6.833333333,11.6,25,0,10,0,0,0,0,0,0
Idaho,2.936507937,0.75,2.631578947,2.458333333,6.571428571,4.833333333,0,1.666666667,5,0,0,0,0,1,0,0,1.793103448,0.333333333,1.111111111,2,4,3.333333333,0,0,4.25,1,0,3,0,0,0,0,3.827586207,0,3.5,2.5,10.5,18,0,1.5,0,0,0,0,0,0
Illinois,7.35078534,3.04,5.055248619,6.951086957,9.603773585,15.03448276,6.8,26.5,8.733333333,4,3.8,10.66666667,7.75,22,0,0,7.083333333,2.666666667,4.283333333,6.803921569,10.51851852,16,7,25,10.63492063,5.5,7,11.94117647,15.4,14.4,4,60,6.79204893,2.846153846,5.159574468,6.168141593,8.446153846,14.32258065,7.333333333,22.625,0,0,0,0,0,0
Indiana,4.262237762,0.166666667,1.342465753,2.06097561,2.615384615,3.9,2,25.41176471,12,0,4,4,1,0,0,0,3.884955752,0.333333333,1.586206897,1.64516129,2.043478261,3.583333333,0.333333333,25.58333333,5.586206897,1,9,1.636363636,1.142857143,8.5,0,25.2,4.071428571,0.428571429,0.65,2.461538462,3.80952381,3.25,0,23.47058824,0,0,0,0,0,0
Iowa,2.464285714,1,1.673913043,2.76,4.55,8.111111111,0,0.555555556,1.571428571,0,0,1.75,2,0,0,1,2.016393443,0.5,1.526315789,2.095238095,4.285714286,4.285714286,0,1.666666667,3.214285714,0,2,3,6,8,0,1,2.862068966,3.5,1.708333333,3.666666667,5,32,0,0.5,0,0,0,0,0,0
Kansas,2.554744526,0.111111111,0.487179487,0.142857143,0.736842105,0.066666667,0,69.66666667,0,0,1,0,0,0,0,0,2.134615385,0,0.75,0.117647059,0.5,0.857142857,0,142,2.866666667,0,1,0.333333333,2,0,0,54,3.161290323,0.333333333,0.238095238,0.111111111,0.375,0.75,0,54.75,0,0,0,0,0,0
Kentucky,2.274285714,0.666666667,1.295081967,1.738461538,3.666666667,2.636363636,0,121,2.285714286,0,1.25,0,0,0,0,0,2.583333333,0.5,2.333333333,1.727272727,3.545454545,0.8,0,0,2.65,2,0.777777778,4.75,3,12,0,0,1.977272727,1,0.833333333,1.473684211,4.5,3.25,0,53,0,0,0,0,0,0
Louisiana,7.1,7.8,3.827160494,8.321428571,9.41025641,17.86666667,3,11.33333333,10.6,0,4.666666667,21,0,0,0,0,5.796875,3.5,3.166666667,6.166666667,7.214285714,23,0,14,11.40909091,0,6.555555556,14,12.25,26.5,0,13,6.834862385,18,3.577777778,8.064516129,9.476190476,14.5,0,6,0,0,0,0,0,0
Maine,1.888888889,1,1.466666667,1.652173913,2.4,2.4,0,6.666666667,0,0,0,0,0,0,0,0,1.620689655,0,0.923076923,1.333333333,2.6,1.5,0,0,1.285714286,0,3,0.6,0,1,0,0,2.138888889,2,1.6875,2.444444444,2.8,3.5,0,3.333333333,0,0,0,0,0,0
Maryland,7.52293578,7.125,7.875,8.528089888,12.22222222,14.74193548,3,4.265625,20.5,0,0,21,8,0,0,0,5.669491525,6.333333333,7.259259259,5.4,7.80952381,8.5,0,4.65,10.11363636,4.5,8.5,9.9375,29.25,19.8,1,8.25,7.850931677,9,7.512195122,10.54054054,13.65384615,17.57142857,0,3.45,0,0,0,0,0,0
Massachusetts,6.622222222,4,3.545454545,4.111111111,7.56097561,11.52941176,0,38.25,22.5,0,9,0,15,0,0,0,5.760869565,1.666666667,2.852941176,2.967741935,5.823529412,16.6,0,89,11.2173913,6,6.625,6.625,9,13,0,0,6.241830065,5.333333333,3.428571429,4.274509804,8.388888889,9,0,22.64285714,0,0,0,0,0,0
Michigan,6.333333333,1.833333333,3.701612903,4.264900662,7.694444444,9.574468085,2,90.875,5.785714286,0,4.8,3.4,23,4.5,1,0,5.5,3.25,2.568181818,3.884615385,9.666666667,6.428571429,0,45.8,10.4047619,0.75,7,8.5,7.444444444,0,0,114,6.139013453,1.7,3.725806452,3.825,6.590909091,9.666666667,5,186.5,0,0,0,0,0,0
Minnesota,7.133333333,5,6.769230769,5.476744186,8.829268293,24.85714286,9,2.722222222,7.875,0,4.75,7.5,14,10,0,0,6.03030303,3.714285714,4.6,4.612903226,9,18.28571429,0,4.4,12.44,5,16,7.416666667,29.5,0,0,2.5,6.894308943,5.857142857,7.636363636,5.463414634,6.791666667,25.83333333,6,1.818181818,0,0,0,0,0,0
Mississippi,8.158415842,1.714285714,3.571428571,4.941176471,11.57142857,13.25,0.5,550,8.25,0,7,6,8,2,0,0,7.48,3,2.461538462,5.625,44,0,0,0,24.57142857,0,13,14,29,33,0,0,6.646153846,1.25,3.157894737,3.869565217,7.363636364,10.83333333,0,287,0,0,0,0,0,0
Missouri,3.492907801,0.375,1.17,2.688172043,2.770833333,4.346153846,0,96.4,1.272727273,0,0.666666667,1.5,1,5,0,0,3.170212766,0.5,1,2.678571429,2.375,3.222222222,0,82.5,5.205882353,4,2.25,4.888888889,4.714285714,4,1,0,3.468531469,1.666666667,1.14,2.403846154,2.681818182,5.25,1,81,0,0,0,0,0,0
Montana,3.727272727,0.25,5.875,3.058823529,12,3.666666667,0,0.6,0,0,0,0,0,0,0,0,4.6,1,3.75,3.8,13,9,0,1,3.4,0,0,2.333333333,0,0.5,0,0,3.041666667,0,5.5,2.777777778,9,3.333333333,0,0.5,0,0,0,0,0,0
Nebraska,2.272727273,2,2,2.15625,3.3,6.090909091,0,0.181818182,0,0,1,0,0,0,0,0,2.451612903,0.5,3.2,2.8,4.5,5.333333333,0,0.166666667,2,0,2,1.6,0,6,0,2,2.25,3.5,2.083333333,2,1.5,6.142857143,0,0.25,0,0,0,0,0,0
Nevada,2.78125,1.333333333,2.285714286,3.302325581,5.142857143,2.8,1,2.333333333,0.5,0,2,0,0,0,0,1,2.26,2,1.333333333,2.277777778,6.714285714,1.6,0,1.666666667,4.764705882,1,5.25,11.5,4.666666667,1,0,2,2.890909091,1.5,2.466666667,2.894736842,4.272727273,6.333333333,0,3.666666667,0,0,0,0,0,0
New Hampshire,2.791666667,1.5,1.851851852,2.052631579,3.5,5.5,0,5.3,1.25,0,1,1,3,0,0,2,3.045454545,0,1.5,4,1.5,16,0,5,3.375,0,2.666666667,0,6,2,0,4,2.684210526,0,2.153846154,1.142857143,4,4.333333333,0,6.75,0,0,0,0,0,0
